Ay;Dolar;Euro;Altın;Petrol;Beton;Demir;Fiyat;Son Güncelleme Tarihi;Konut Tipi;Mahalle; Net M2;Oda ; Salon Sayısı;Bulunduğu Kat;Bina Yaşı;Isınma Tipi;Eşya Durumu;Banyo Sayısı;Cephe;Kira Getirisi;Kullanım Durumu;Aidat;Yakıt Tipi
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.950.000 TL;12 12 2023;Daire;Cumhuriyet;85;2;1;3. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;10 10 2023;Daire;Cumhuriyet;140;3;1;Ara Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Batı;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.875.000 TL;26 12 2023;Daire;Mimar Sinan;125;3;1;En Üst Kat;9 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Batı;8.000 TL;Mülk Sahibi;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.850.000 TL;26 12 2023;Daire;Meşrutiyet;120;3;1;3. Kat;35 Yaşında;Isıtma Yok;Eşyalı Değil;1;;;Boş;30 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;26 12 2023;Daire;Cumhuriyet;90;2;1;2. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.600.000 TL;26 12 2023;Daire;Zeybek;84;2;1;5. Kat;15 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;;Kiracılı;250 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.500.000 TL;26 12 2023;Daire;Meşrutiyet;95;2;1;Yüksek Giriş;25 Yaşında;Klima;Eşyalı;1;Doğu, Batı;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.700.000 TL;26 12 2023;Daire;Meşrutiyet;50;1;1;3. Kat;7 Yaşında;Kombi;Eşyalı;1;Doğu, Batı;5.000 TL;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.250.000 TL;26 12 2023;Daire;Meşrutiyet;130;3;1;Ara Kat;30 Yaşında;Klima;Eşyalı Değil;2;Güney;;;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;26 12 2023;Daire;Cumhuriyet;120;3;1;1. Kat;30 Yaşında;Soba;Eşyalı Değil;1;;;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.150.000 TL;12 12 2023;Daire;Zafer;175;4;1;4. Kat;23 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;15.000 TL;Boş;80 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;26 12 2023;Daire;Meşrutiyet;85;2;1;Yüksek Giriş;25 Yaşında;Soba;Eşyalı Değil;1;Doğu, Batı;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;17.500.000 TL;24 12 2023;Villa;Mimar Sinan;350;7;1;Yüksek Giriş;Sıfır Bina;Kombi;Eşyalı Değil;7;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.300.000 TL;22 12 2023;Daire;Efeler;200;4;1;2. Kat;8 Yaşında;Kombi;Eşyalı Değil;2;Güney, Batı;;Boş;400 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.950.000 TL;22 12 2023;Daire;Fatih;120;3;1;1. Kat;Sıfır Bina;Yerden Isıtma;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;17.000 TL;Boş;1 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.500.000 TL;21 12 2023;Daire;Mimar Sinan;175;3;1;Ara Kat;10 Yaşında;Merkezi;Eşyalı Değil;2;Kuzey, Güney, Batı;9.000 TL;Kiracılı;700 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;550.000 TL;20 12 2023;Müstakil Ev;Efeler;100;2;1;Ara Kat;30 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.350.000 TL;16 12 2023;Daire;Adnan Menderes;65;2;1;2. Kat;Sıfır Bina;Kombi;Eşyalı;1;Kuzey, Güney, Doğu, Batı;13.000 TL;Boş;10 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;21 12 2023;Daire;Güzelhisar;150;4;1;En Üst Kat;28 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;10.000 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.250.000 TL;12 12 2023;Daire;Orta;48;1;1;4. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;8.500 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.180.000 TL;23 12 2023;Daire;Kurtuluş;35;1;1;3. Kat;8 Yaşında;Kombi;Eşyalı;1;Kuzey;4.500 TL;Kiracılı;70 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.380.000 TL;19 12 2023;Daire;Zafer;37;1;1;3. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Kuzey;3.500 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.800.000 TL;4 12 2023;Daire;Efeler;180;3;1;6. Kat;20 Yaşında;Merkezi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;;Mülk Sahibi;630 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.280.000 TL;12 12 2023;Daire;Zafer;78;2;1;Kot 1;6 Yaşında;Belirtilmemiş;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;7.000 TL;Boş;100 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.950.000 TL;16 12 2023;Daire;Girne;180;4;1;3. Kat;7 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;17.000 TL;Mülk Sahibi;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.980.000 TL;12 12 2023;Daire;Mesudiye;65;2;1;2. Kat;3 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;10.000 TL;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.300.000 TL;22 12 2023;Daire;Zeybek;155;3;1;1. Kat;5 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;;Kiracılı;500 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.800.000 TL;4 12 2023;Daire;Ata;120;3;1;1. Kat;Sıfır Bina;Yerden Isıtma;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;17.000 TL;Boş;1 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.100.000 TL;5 12 2023;Müstakil Ev;Armutlu;1.000;3;1;1. Kat;30 Yaşında;Isıtma Yok;Eşyalı Değil;1;Kuzey, Batı;;;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.090.000 TL;15 12 2023;Daire;Zafer;45;1;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Doğu;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.850.000 TL;21 12 2023;Daire;Mimar Sinan;150;4;1;3. Kat;3 Yaşında;Merkezi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;;Boş;70 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750.000 TL;22 12 2023;Daire;Köprülü - Veysipaşa;100;2;1;5. Kat;25 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;8.000 TL;Mülk Sahibi;75 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;22 12 2023;Daire;Efeler;120;3;1;2. Kat;30 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.200.000 TL;16 12 2023;Daire;Ata;145;3;1;1. Kat;4 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;15.000 TL;Mülk Sahibi;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.000.000 TL;24 12 2023;Daire;Güzelhisar;45;3;1;3. Kat;30 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;24 12 2023;Daire;Fatih;140;3;1;1. Kat;15 Yaşında;Kombi;Eşyalı Değil;1;;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.275.000 TL;8 12 2023;Daire;Cumhuriyet;135;3;1;3. Kat;21 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Boş;100 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.800.000 TL;25 12 2023;Daire;Mimar Sinan;150;3;1;4. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;;Mülk Sahibi;460 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;26 12 2023;Daire;Adnan Menderes;320;4;2;En Üst Kat;16 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney;;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;25 12 2023;Daire;Kurtuluş;170;3;1;7. Kat;30 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;20.000 TL;Mülk Sahibi;300 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;7 12 2023;Daire;Fatih;140;3;1;3. Kat;10 Yaşında;Kombi;Eşyalı Değil;2;;15.000 TL;Boş;300 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;25 12 2023;Daire;Ata;110;2;1;7. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Doğu, Batı;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.400.000 TL;20 12 2023;Daire;Hasanefendi - Ramazan Paşa;155;2;1;Ara Kat;20 Yaşında;Kombi;Eşyalı Değil;1;Kuzey;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.950.000 TL;25 12 2023;Daire;Cumhuriyet;120;2;1;1. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;12.500 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;9.200.000 TL;15 12 2023;Residence;Zeybek;185;4;1;4. Kat;3 Yaşında;Merkezi;Eşyalı Değil;2;Kuzey, Güney;;Kiracılı;1.500 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.150.000 TL;14 12 2023;Daire;Adnan Menderes;130;3;1;Ara Kat;9 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Batı;15.000 TL;Boş;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.100.000 TL;25 12 2023;Müstakil Ev;Hasanefendi - Ramazan Paşa;90;3;1;Ara Kat;50 Yaşında;Isıtma Yok;Eşyalı Değil;1;Doğu, Batı;4.000 TL;Kiracılı;1 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.200.000 TL;16 12 2023;Daire;Ata;135;3;1;Kot 2;Sıfır Bina;Merkezi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Boş;600 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;25 12 2023;Daire;Kurtuluş;140;3;1;4. Kat;18 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Batı;15.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.750.000 TL;21 12 2023;Daire;Yedi Eylül;100;3;1;Ara Kat;25 Yaşında;Merkezi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;1 TL;Kiracılı;11 TL;Akaryakıt
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.499.000 TL;26 12 2023;Daire;Hasanefendi - Ramazan Paşa;95;2;1;Ara Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Doğu, Batı;9.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.150.000 TL;26 12 2023;Daire;Orta;50;1;1;4. Kat;6 Yaşında;Klima;Eşyalı;1;Güney;;Kiracılı;50 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;25 12 2023;Daire;Kurtuluş;82;2;1;Ara Kat;8 Yaşında;Kombi;Eşyalı Değil;1;Doğu, Batı;9.000 TL;Kiracılı;80 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;6.850.000 TL;24 12 2023;Residence;Mimar Sinan;180;4;1;8. Kat;6 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney;;Kiracılı;600 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;8.000.000 TL;16 12 2023;Daire;Adnan Menderes;256;4;1;1. Kat;6 Yaşında;Merkezi (Pay Ölçer);Eşyalı Değil;2;Kuzey, Güney, Batı;25.000 TL;Kiracılı;1.150 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.900.000 TL;13 12 2023;Daire;İstiklal;250;5;1;3. Kat;3 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.350.000 TL;4 12 2023;Daire;Mesudiye;53;1;1;2. Kat;7 Yaşında;Merkezi;Eşyalı Değil;1;Güney;7.000 TL;Boş;60 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;14 12 2023;Daire;Adnan Menderes;130;3;1;7. Kat;9 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Doğu;6.000 TL;Kiracılı;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.100.000 TL;2 11 2023;Daire;Adnan Menderes;115;3;1;En Üst Kat;10 Yaşında;Kombi;Eşyalı Değil;1;Güney, Doğu;6.000 TL;Kiracılı;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.250.000 TL;24 12 2023;Daire;İstiklal;230;5;1;3. Kat;3 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;9.750.000 TL;4 12 2023;Müstakil Ev;Karaköy;200;4;1;3. Kat;7 Yaşında;Klima;Eşyalı Değil;2;Batı;10.000 TL;;10 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;19 12 2023;Daire;Efeler;100;2;1;5. Kat;Sıfır Bina;Yerden Isıtma;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;;Kiracılı;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.650 TL;12 12 2023;Daire;Hasanefendi - Ramazan Paşa;50;1;1;3. Kat;7 Yaşında;Klima;Eşyalı;1;Kuzey;5.500 TL;Kiracılı;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;4 12 2023;Daire;Ata;130;3;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Batı;10.000 TL;Boş;10 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.200.000 TL;25 12 2023;Daire;Girne;140;3;1;1. Kat;5 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Doğu;;Mülk Sahibi;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.350.000 TL;26 12 2023;Daire;Mimar Sinan;120;3;1;3. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu, Batı;10.000 TL;Kiracılı;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.285.000 TL;26 12 2023;Daire;Ata;130;3;1;Giriş Katı;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Batı;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.700.000 TL;21 12 2023;Daire;Cumhuriyet;45;1;1;Ara Kat;9 Yaşında;Kombi;Eşyalı Değil;1;Güney, Batı;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.250.000 TL;24 12 2023;Daire;Kurtuluş;150;3;1;1. Kat;20 Yaşında;Kombi;Eşyalı Değil;1;;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.700.000 TL;12 12 2023;Daire;Umurlu;125;3;1;7. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Güney;3.500 TL;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.800.000 TL;12 12 2023;Daire;İstiklal;235;2;1;3. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;17.000 TL;Boş;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.350.000 TL;11 12 2023;Daire;Orta;110;2;1;3. Kat;2 Yaşında;Kombi;Eşyalı Değil;2;Güney;7.500 TL;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.385.000 TL;26 12 2023;Daire;Efeler;210;5;1;4. Kat;11 Yaşında;Kombi;Eşyalı Değil;2;;;Kiracılı;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.850.000 TL;25 12 2023;Daire;Adnan Menderes;126;3;1;2. Kat;4 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;5.000 TL;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;24 12 2023;Daire;Adnan Menderes;145;3;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.500.000 TL;12 12 2023;Daire;Adnan Menderes;165;4;1;Ara Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu, Batı;20.000 TL;Boş;300 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;18 12 2023;Daire;Osman Yozgatlı;120;3;1;1. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.750.000 TL;25 12 2023;Daire;Adnan Menderes;138;3;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Doğu;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.200.000 TL;26 11 2023;Daire;Ata;135;3;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Batı;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.350.000 TL;26 12 2023;Daire;Mimar Sinan;135;3;1;7. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.250.000 TL;16 12 2023;Daire;Efeler;200;5;1;2. Kat;4 Yaşında;Kombi;Eşyalı Değil;3;Kuzey, Güney, Batı;;;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.250.000 TL;25 12 2023;Daire;Hasanefendi - Ramazan Paşa;120;3;1;4. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.500.000 TL;25 12 2023;Daire;Hasanefendi - Ramazan Paşa;140;4;1;4. Kat;28 Yaşında;Isıtma Yok;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Kiracılı;50 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.529.000 TL;26 12 2023;Daire;Köprülü - Veysipaşa;85;2;1;Ara Kat;50 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;5.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750.000 TL;25 12 2023;Daire;Cuma;75;2;1;5. Kat;3 Yaşında;Kombi;Eşyalı;1;Kuzey;15.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.650.000 TL;24 12 2023;Daire;Kurtuluş;120;3;1;4. Kat;30 Yaşında;Klima;Eşyalı Değil;1;;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.250.000 TL;26 12 2023;Köy Evi;Dalama;85;2;1;4. Kat;20 Yaşında;Soba;Eşyalı;1;;;;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.500.000 TL;22 12 2023;Daire;Meşrutiyet;220;5;2;5. Kat;9 Yaşında;Kombi;Eşyalı Değil;2;;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;23 12 2023;Daire;Güzelhisar;80;2;1;Ara Kat;40 Yaşında;Klima;Eşyalı;1;Batı;;Kiracılı;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.475.000 TL;20 12 2023;Daire;Mesudiye;50;1;1;5. Kat;8 Yaşında;Kombi;Eşyalı;1;Kuzey, Güney;8.000 TL;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;8.000.000 TL;21 12 2023;Müstakil Ev;Köprülü - Veysipaşa;360;9;2;5. Kat;35 Yaşında;Klima;Eşyalı;2;;;;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.100.000 TL;21 12 2023;Daire;Zafer;190;4;1;3. Kat;15 Yaşında;Kombi;Eşyalı;1;Doğu, Batı;8.000 TL;Mülk Sahibi;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;6.250.000 TL;22 12 2023;Müstakil Ev;Kemer;186;4;1;3. Kat;20 Yaşında;Kombi;Eşyalı Değil;2;;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.200.000 TL;26 12 2023;Daire;Adnan Menderes;135;3;1;1. Kat;3 Yaşında;Kombi;Eşyalı Değil;1;Doğu, Batı;14.000 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.275.000 TL;4 12 2023;Daire;Zafer;85;2;1;Zemin;5 Yaşında;Kombi;Eşyalı;1;Güney, Doğu, Batı;7.500 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.300.000 TL;25 12 2023;Daire;Kurtuluş;135;3;1;3. Kat;24 Yaşında;Isıtma Yok;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Kiracılı;50 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.160.000 TL;28 11 2023;Daire;Mimar Sinan;100;3;1;4. Kat;26 Yaşında;Klima;Eşyalı Değil;1;Güney, Doğu;13.000 TL;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.400.000 TL;4 11 2023;Daire;Güzelhisar;135;3;1;Ara Kat;30 Yaşında;Klima;Eşyalı Değil;1;Güney, Doğu;;Kiracılı;100 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.400.000 TL;13 12 2023;Daire;Dalama;220;4;2;Teras Katı;5 Yaşında;Klima;Eşyalı Değil;2;;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;25 12 2023;Daire;Cuma;60;2;1;3. Kat;3 Yaşında;Merkezi;Eşyalı Değil;1;Doğu;12.000 TL;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;7.000.000 TL;3 11 2023;Villa;Yılmazköy;65;3;1;3. Kat;Sıfır Bina;Doğalgaz Sobası;Eşyalı Değil;2;Kuzey, Güney, Batı;20.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;13 12 2023;Daire;Mimar Sinan;150;3;1;1. Kat;16 Yaşında;Kombi;Eşyalı Değil;1;;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.050.000 TL;26 12 2023;Daire;Cumhuriyet;85;2;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.150.000 TL;25 12 2023;Daire;Ata;200;4;1;3. Kat;5 Yaşında;Kombi;Eşyalı Değil;2;;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.630.000 TL;21 12 2023;Daire;Kurtuluş;120;2;1;2. Kat;25 Yaşında;Klima;Eşyalı Değil;1;Kuzey, Güney;6.000 TL;Boş;50 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;18.000.000 TL;21 12 2023;Villa;Zafer;555;5;2;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;6;Kuzey, Güney, Doğu, Batı;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.040.000 TL;8 11 2023;Residence;Ata;120;2;1;5. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Güney, Batı;25.000 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;25 12 2023;Köy Evi;Musluca;230;2;1;5. Kat;20 Yaşında;Soba;Eşyalı;1;;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.000.000 TL;25 12 2023;Daire;Zafer;60;1;1;Bahçe Katı;30 Yaşında;Merkezi;Eşyalı;1;Güney, Doğu;8.000 TL;Kiracılı;400 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.600.000 TL;14 12 2023;Daire;Orta;130;2;1;En Üst Kat;7 Yaşında;Kombi;Eşyalı;2;Güney;10.000 TL;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.500.000 TL;21 12 2023;Daire;Cumhuriyet;120;3;1;3. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Güney, Doğu;12.000 TL;Boş;50 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.250.000 TL;20 12 2023;Daire;Fatih;125;3;1;En Üst Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Batı;;Boş;100 TL;Doğalgaz
