Ay;Dolar;Euro;Altın;Petrol;Beton;Demir;Fiyat;Son Güncelleme Tarihi;Konut Tipi;Mahalle; Net M2;Oda ; Salon Sayısı;Bulunduğu Kat;Bina Yaşı;Isınma Tipi;Eşya Durumu;Banyo Sayısı;Cephe;Kira Getirisi;Kullanım Durumu;Aidat;Yakıt Tipi
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.150.000 TL;27 11 2023;Daire;Adnan Menderes;180;5;1;3. Kat;11 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Doğu, Batı;;Mülk Sahibi;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.050.000 TL;25 11 2023;Daire;Ata;125;3;1;3. Kat;2 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750.000 TL;10 11 2023;Müstakil Ev;Şahnalı;60;2;1;3. Kat;30 Yaşında;Soba;Eşyalı Değil;1;Doğu;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.350.000 TL;5 11 2023;Daire;Güzelhisar;55;2;1;3. Kat;Sıfır Bina;Merkezi (Pay Ölçer);Eşyalı Değil;1;Doğu, Batı;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.650.000 TL;24 11 2023;Daire;Mimar Sinan;135;3;1;5. Kat;20 Yaşında;Kombi;Eşyalı Değil;1;Güney, Doğu, Batı;16.000 TL;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.150.000 TL;26 12 2023;Daire;Adnan Menderes;115;3;1;En Üst Kat;15 Yaşında;Kombi;Eşyalı Değil;1;;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.200.000 TL;21 11 2023;Daire;Orta;50;1;1;4. Kat;4 Yaşında;Merkezi;Eşyalı Değil;1;;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.050.000 TL;2 12 2023;Daire;Orta;60;2;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Kuzey, Güney;12.000 TL;Boş;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.300.000 TL;25 11 2023;Daire;Hasanefendi - Ramazan Paşa;120;3;1;1. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Doğu, Batı;15.000 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.900.000 TL;28 09 2023;Daire;Kurtuluş;300;5;1;4. Kat;3 Yaşında;Kombi;Eşyalı Değil;3;Kuzey, Güney, Doğu, Batı;20.000 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.400.000 TL;14 10 2023;Daire;Güzelhisar;145;3;1;7. Kat;40 Yaşında;Kombi;Eşyalı;1;Kuzey, Güney;10.000 TL;Kiracılı;350 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.900.000 TL;15 12 2023;Daire;Güzelhisar;135;3;1;1. Kat;8 Yaşında;Kombi;Eşyalı Değil;2;;20.000 TL;Boş;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.000.000 TL;30 11 2023;Daire;Fatih;150;3;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Kuzey, Doğu;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.250.000 TL;20 10 2023;Daire;Ata;125;3;1;1. Kat;Sıfır Bina;Yerden Isıtma;Eşyalı Değil;2;Kuzey, Doğu;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.200.000 TL;10 11 2023;Daire;Kurtuluş;100;2;1;3. Kat;30 Yaşında;Klima;Eşyalı Değil;1;Doğu, Batı;;Mülk Sahibi;;Doğalgaz
